Invoice,Branch,City,Type,Gender,Category,Cost,Sale,Date,Year,Month,Day,Date2,Time,Payment,Review
750-67-8428,A,Nueva York,Member,Female,Health and beauty, $522.83 , $548.97 ,01/05/19,2019,1,5,05/01/19,13:08:00,Ewallet,9.1
226-31-3081,C,Houston,Normal,Female,Electronic accessories, $76.40 , $80.22 ,03/08/19,2019,3,8,08/03/19,10:29:00,Cash,9.6
631-41-3108,A,Nueva York,Normal,Male,Home and lifestyle, $324.31 , $340.53 ,03/03/19,2019,3,3,03/03/19,13:23:00,Credit card,7.4
123-19-1176,A,Nueva York,Member,Male,Health and beauty, $465.76 , $489.05 ,1/27/2019,2019,1,27,27/01/19,20:33:00,Ewallet,8.4
373-73-7910,A,Nueva York,Normal,Male,Sports and travel, $604.17 , $634.38 ,02/08/19,2019,2,8,08/02/19,10:37:00,Ewallet,5.3
699-14-3026,C,Houston,Normal,Male,Electronic accessories, $597.73 , $627.62 ,3/25/2019,2019,3,25,25/03/19,18:30:00,Ewallet,4.1
355-53-5943,A,Nueva York,Member,Female,Electronic accessories, $413.04 , $433.69 ,2/25/2019,2019,2,25,25/02/19,14:36:00,Ewallet,5.8
315-22-5665,C,Houston,Normal,Female,Home and lifestyle, $735.60 , $772.38 ,2/24/2019,2019,2,24,24/02/19,11:38:00,Ewallet,8.0
665-32-9167,A,Nueva York,Member,Female,Health and beauty, $72.52 , $76.15 ,01/10/19,2019,1,10,10/01/19,17:15:00,Credit card,7.2
692-92-5582,B,Chicago,Member,Female,Food and beverages, $164.52 , $172.75 ,2/20/2019,2019,2,20,20/02/19,13:27:00,Credit card,5.9
351-62-0822,B,Chicago,Member,Female,Fashion accessories, $57.92 , $60.82 ,02/06/19,2019,2,6,06/02/19,18:07:00,Ewallet,4.5
529-56-3974,B,Chicago,Member,Male,Electronic accessories, $102.04 , $107.14 ,03/09/19,2019,3,9,09/03/19,17:03:00,Cash,6.8
365-64-0515,A,Nueva York,Normal,Female,Electronic accessories, $234.75 , $246.49 ,02/12/19,2019,2,12,12/02/19,10:25:00,Ewallet,7.1
252-56-2699,A,Nueva York,Normal,Male,Food and beverages, $431.90 , $453.50 ,02/07/19,2019,2,7,07/02/19,16:48:00,Ewallet,8.2
829-34-3910,A,Nueva York,Normal,Female,Health and beauty, $713.80 , $749.49 ,3/29/2019,2019,3,29,29/03/19,19:21:00,Cash,5.7
299-46-1805,B,Chicago,Member,Female,Sports and travel, $562.32 , $590.44 ,1/15/2019,2019,1,15,15/01/19,16:19:00,Cash,4.5
656-95-9349,A,Nueva York,Member,Female,Health and beauty, $482.51 , $506.64 ,03/11/19,2019,3,11,11/03/19,11:03:00,Credit card,4.6
765-26-6951,A,Nueva York,Normal,Male,Sports and travel, $435.66 , $457.44 ,01/01/19,2019,1,1,01/01/19,10:39:00,Credit card,6.9
329-62-1586,A,Nueva York,Normal,Male,Food and beverages, $164.01 , $172.21 ,1/21/2019,2019,1,21,21/01/19,18:00:00,Credit card,8.6
319-50-3348,B,Chicago,Normal,Female,Home and lifestyle, $80.60 , $84.63 ,03/11/19,2019,3,11,11/03/19,15:30:00,Ewallet,4.4
300-71-4605,C,Houston,Member,Male,Electronic accessories, $430.20 , $451.71 ,2/25/2019,2019,2,25,25/02/19,11:24:00,Ewallet,4.8
371-85-5789,B,Chicago,Normal,Male,Health and beauty, $263.94 , $277.14 ,03/05/19,2019,3,5,05/03/19,10:40:00,Ewallet,5.1
273-16-6619,B,Chicago,Normal,Male,Home and lifestyle, $66.40 , $69.72 ,3/15/2019,2019,3,15,15/03/19,12:20:00,Credit card,4.4
636-48-8204,A,Nueva York,Normal,Male,Electronic accessories, $172.80 , $181.44 ,2/17/2019,2019,2,17,17/02/19,11:15:00,Ewallet,9.9
549-59-1358,A,Nueva York,Member,Male,Sports and travel, $265.89 , $279.18 ,03/02/19,2019,3,2,02/03/19,17:36:00,Ewallet,6.0
227-03-5010,A,Nueva York,Member,Female,Home and lifestyle, $420.72 , $441.76 ,3/22/2019,2019,3,22,22/03/19,19:20:00,Credit card,8.5
649-29-6775,B,Chicago,Normal,Male,Fashion accessories, $33.52 , $35.20 ,02/08/19,2019,2,8,08/02/19,15:31:00,Cash,6.7
189-17-4241,A,Nueva York,Normal,Female,Fashion accessories, $175.34 , $184.11 ,03/10/19,2019,3,10,10/03/19,12:17:00,Credit card,7.7
145-94-9061,B,Chicago,Normal,Female,Food and beverages, $441.80 , $463.89 ,1/25/2019,2019,1,25,25/01/19,19:48:00,Cash,9.6
848-62-7243,A,Nueva York,Normal,Male,Health and beauty, $224.01 , $235.21 ,3/15/2019,2019,3,15,15/03/19,15:36:00,Cash,7.4
871-79-8483,B,Chicago,Normal,Male,Fashion accessories, $470.65 , $494.18 ,2/25/2019,2019,2,25,25/02/19,19:39:00,Credit card,4.8
149-71-6266,B,Chicago,Member,Male,Sports and travel, $702.63 , $737.76 ,1/28/2019,2019,1,28,28/01/19,12:43:00,Cash,4.5
640-49-2076,B,Chicago,Normal,Male,Sports and travel, $670.24 , $703.75 ,01/10/19,2019,1,10,10/01/19,14:49:00,Cash,5.1
595-11-5460,A,Nueva York,Normal,Male,Health and beauty, $193.16 , $202.82 ,3/15/2019,2019,3,15,15/03/19,10:12:00,Credit card,5.1
183-56-6882,C,Houston,Member,Female,Food and beverages, $397.68 , $417.56 ,02/06/19,2019,2,6,06/02/19,10:42:00,Ewallet,7.5
232-16-2483,C,Houston,Member,Female,Sports and travel, $68.12 , $71.53 ,01/07/19,2019,1,7,07/01/19,12:28:00,Ewallet,6.8
129-29-8530,A,Nueva York,Member,Male,Sports and travel, $313.10 , $328.76 ,03/10/19,2019,3,10,10/03/19,19:15:00,Ewallet,7.0
272-65-1806,A,Nueva York,Normal,Female,Electronic accessories, $547.92 , $575.32 ,1/15/2019,2019,1,15,15/01/19,17:17:00,Ewallet,4.7
333-73-7901,C,Houston,Normal,Female,Health and beauty, $439.36 , $461.33 ,3/23/2019,2019,3,23,23/03/19,13:24:00,Ewallet,7.6
777-82-7220,B,Chicago,Member,Male,Home and lifestyle, $240.96 , $253.01 ,03/03/19,2019,3,3,03/03/19,13:01:00,Cash,7.7
280-35-5823,B,Chicago,Member,Female,Home and lifestyle, $86.72 , $91.06 ,1/17/2019,2019,1,17,17/01/19,18:45:00,Ewallet,7.9
554-53-8700,C,Houston,Member,Male,Home and lifestyle, $112.22 , $117.83 ,02/02/19,2019,2,2,02/02/19,10:11:00,Cash,6.3
354-25-5821,B,Chicago,Member,Female,Sports and travel, $414.72 , $435.46 ,02/08/19,2019,2,8,08/02/19,13:03:00,Cash,5.6
228-96-1411,C,Houston,Member,Female,Food and beverages, $789.60 , $829.08 ,03/04/19,2019,3,4,04/03/19,20:39:00,Cash,7.6
617-15-4209,C,Houston,Member,Male,Health and beauty, $30.74 , $32.28 ,3/16/2019,2019,3,16,16/03/19,19:47:00,Cash,7.2
132-32-9879,B,Chicago,Member,Female,Electronic accessories, $375.84 , $394.63 ,03/09/19,2019,3,9,09/03/19,18:00:00,Cash,9.5
370-41-7321,B,Chicago,Member,Male,Health and beauty, $510.21 , $535.72 ,2/27/2019,2019,2,27,27/02/19,17:24:00,Credit card,8.4
727-46-3608,B,Chicago,Member,Female,Food and beverages, $180.09 , $189.09 ,02/06/19,2019,2,6,06/02/19,15:47:00,Ewallet,4.1
669-54-1719,B,Chicago,Member,Male,Electronic accessories, $113.58 , $119.26 ,02/10/19,2019,2,10,10/02/19,12:45:00,Credit card,8.1
574-22-5561,C,Houston,Member,Female,Fashion accessories, $826.30 , $867.62 ,3/19/2019,2019,3,19,19/03/19,17:08:00,Ewallet,7.9
